title,company,location,salary,job_type,work_from_home,date_posted,url
Senior UI React,Pontoon,London,£800 - £900 per day,"Contract, full-time",False,23 March,https://www.reed.co.uk/jobs/senior-ui-react/56689078?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior UI React / Java developer for Triforce Credit Project,cer Financial Ltd,London,"£750 - £1,000 per day","Contract, full-time",False,20 March,https://www.reed.co.uk/jobs/senior-ui-react-java-developer-for-triforce-credit-project/56680609?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Fullstack Javascript Developer,83zero Ltd,London,"£80,000 - £88,000 per annum","Permanent, full-time",False,19 March,https://www.reed.co.uk/jobs/senior-fullstack-javascript-developer/56672919?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack Engineer (Outside IR35),Ernest Gordon Recruitment Limited,London,£450 - £475 per day,"Contract, full-time",True,19 March,https://www.reed.co.uk/jobs/full-stack-engineer-outside-ir35/56677044?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Developer,Reed.co.uk,London,"£80,000 per annum","Permanent, full-time",False,18 March,https://www.reed.co.uk/jobs/senior-developer/56671680?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Front End Developer (React/TypeScript),Hays Specialist Recruitment Limited,"Guildford, Surrey","£70,000 - £100,000 per annum, inc benefits","Permanent, full-time",False,17 March,https://www.reed.co.uk/jobs/senior-front-end-developer-react-typescript/56664235?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Senior Full Stack Web Developer,Profile 29,"Loughton, Essex","£80,000 - £100,000 per annum","Permanent, full-time",False,17 March,https://www.reed.co.uk/jobs/senior-full-stack-web-developer/56658301?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack React/Azure Developer,True North Group,London,£500 - £550 per day,"Contract, full-time",True,17 March,https://www.reed.co.uk/jobs/full-stack-react-azure-developer/56660119?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Full Stack Engineer,Circle Recruitment,London,£250 - £300 per day,"Contract, full-time",False,16 March,https://www.reed.co.uk/jobs/full-stack-engineer/56656955?source=searchResults&filter=%2Fjobs%2Fcontract-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
Frontend Engineer,MFK Recruitment,London,"£50,000 - £75,000 per annum","Permanent, full-time",False,13 March,https://www.reed.co.uk/jobs/frontend-engineer/56640701?source=searchResults&filter=%2Fjobs%2Fpermanent-vuejs-jobs-in-rg7-1ss%3Fproximity%3D50
